ID001,2025-04-01,09:00,12:00
ID001,2025-04-01,14:00,17:00
ID001,2025-04-02,10:00,13:00
ID001,2025-04-03,09:00,11:00
ID001,2025-04-04,13:00,16:00
ID001,2025-04-07,09:00,12:00
ID001,2025-04-08,14:00,17:00
ID001,2025-04-09,10:00,13:00
ID001,2025-04-10,09:00,11:00
ID001,2025-04-11,13:00,16:00
ID001,2025-04-14,09:00,12:00
ID001,2025-04-15,14:00,17:00
ID001,2025-04-16,10:00,13:00
ID001,2025-04-17,09:00,11:00
ID001,2025-04-18,13:00,16:00
ID001,2025-04-21,09:00,12:00
ID001,2025-04-22,14:00,17:00
ID001,2025-04-23,10:00,13:00
ID001,2025-04-24,09:00,11:00
ID001,2025-04-25,13:00,16:00
ID001,2025-04-28,09:00,12:00
ID002,2025-04-01,09:00,11:00
ID002,2025-04-01,13:00,15:00
ID002,2025-04-02,14:00,17:00
ID002,2025-04-03,10:00,12:00
ID002,2025-04-04,09:00,11:00
ID002,2025-04-07,13:00,16:00
ID002,2025-04-08,09:00,11:00
ID002,2025-04-09,14:00,17:00
ID002,2025-04-10,10:00,12:00
ID002,2025-04-11,09:00,11:00
ID002,2025-04-14,13:00,16:00
ID002,2025-04-15,09:00,11:00
ID002,2025-04-16,14:00,17:00
ID002,2025-04-17,10:00,12:00
ID002,2025-04-18,09:00,11:00
ID002,2025-04-21,13:00,16:00
ID002,2025-04-22,09:00,11:00
ID002,2025-04-23,14:00,17:00
ID002,2025-04-24,10:00,12:00
ID002,2025-04-25,09:00,11:00
ID002,2025-04-28,13:00,16:00
ID003,2025-04-01,13:00,15:00
ID003,2025-04-02,14:00,17:00
ID003,2025-04-03,10:00,12:00
ID003,2025-04-04,09:00,11:00
ID003,2025-04-07,13:00,16:00
ID003,2025-04-08,09:00,11:00
ID003,2025-04-09,14:00,17:00
ID003,2025-04-10,10:00,12:00
ID003,2025-04-11,09:00,11:00
ID003,2025-04-14,13:00,16:00
ID003,2025-04-15,09:00,11:00
ID003,2025-04-16,14:00,17:00
ID003,2025-04-17,10:00,12:00
ID003,2025-04-18,09:00,11:00
ID003,2025-04-21,13:00,16:00
ID003,2025-04-22,09:00,11:00
ID003,2025-04-23,14:00,17:00
ID003,2025-04-24,10:00,12:00
ID003,2025-04-25,09:00,11:00
ID003,2025-04-28,13:00,16:00
